date,symbol,open,high,low,close,volume,amount,adjfactor
20250106,000002.SZ,18.5859,19.9945,17.1248,18.9528,33994862,921660801.41,0.6476
20250106,600001.SH,45.9145,48.8209,43.9819,45.9261,22982063,1002034021.77,0.9178
20250106,000300.SH,33.3291,33.812,32.0666,32.5329,3478828,1622986958.88,1.754
20250107,000001.SZ,98.0624,99.7558,94.7086,97.1953,11473617,2007474258.93,0.588
20250107,600000.SH,45.0782,44.9032,43.4598,44.0626,21727366,2113130870.97,1.9931
20250107,000002.SZ,60.456,60.4835,57.9093,60.4879,29379834,1654581786.28,1.622
20250107,600001.SH,15.3132,16.6534,14.703,14.8023,48078166,74595501.07,0.7787
20250107,000300.SH,63.9036,64.2588,60.9128,63.9434,13064552,1914948120.85,1.4291
20250108,000001.SZ,47.8976,49.2986,47.5344,47.4345,36093398,605964622.56,1.0937
20250108,600000.SH,70.0521,71.4007,69.7077,70.0247,23455990,3517270495.31,1.9941
20250108,000002.SZ,16.0198,17.3891,16.3932,16.9743,44084241,317048468.93,0.7366
20250108,600001.SH,85.4441,86.8721,84.9987,85.191,1383332,3489759016.92,0.9491
20250108,000300.SH,70.5828,70.1079,67.0513,69.312,28107958,999922350.29,1.4072
20250109,000001.SZ,73.9923,76.4878,72.377,74.5736,45361488,3166814739.19,0.6384
20250109,600000.SH,47.6752,48.1325,47.4352,48.2589,13835807,1795921439.63,1.3275
20250109,000002.SZ,47.5112,48.7176,48.1411,48.8958,27733924,2031572475.85,1.3738
20250109,600001.SH,22.5833,24.2532,23.0254,23.6246,43174426,1050883434.52,0.8151
20250109,000300.SH,31.6633,34.798,32.1101,32.3641,31412413,278263347.38,1.8948
20250110,000001.SZ,88.7669,90.2468,87.4588,87.3393,37091659,1517179056.7,1.8962
20250110,600000.SH,82.9293,84.6334,80.0016,82.4885,6296685,3595164211.68,1.7879
20250110,000002.SZ,30.6522,31.3999,27.9346,30.3144,12152178,64827825.28,0.7897
20250110,600001.SH,40.2723,42.4442,37.381,39.6851,20584240,1940653750.68,1.3043
20250110,000300.SH,93.762,97.4425,92.067,94.9939,14007851,596655820.93,1.1518
20250111,000001.SZ,75.1964,77.3877,74.1033,75.4543,29252814,1018776875.91,1.5632
20250111,600000.SH,11.0034,11.7676,9.3105,10.3942,33860796,191337295.52,0.605
20250111,000002.SZ,69.4418,70.7231,69.3254,70.0011,15715791,1127314784.62,1.1126
20250111,600001.SH,45.8073,46.5979,44.4774,46.6564,34188579,2090696569.83,1.4233
20250111,000300.SH,37.1814,37.0867,34.9462,37.0154,29419254,1226809311.53,1.1975
20250112,000001.SZ,49.2218,51.2139,49.4979,50.0904,9314878,256689107.71,1.2732
20250112,600000.SH,66.6351,69.4199,66.2181,67.1375,12007392,720363586.88,0.5366
20250112,000002.SZ,31.9861,34.585,29.2543,31.9503,31858503,337251634.45,1.5445
20250112,600001.SH,53.9819,56.4621,51.5106,54.7449,38732263,339103697.87,1.1377
20250112,000300.SH,26.7457,27.3837,22.9805,25.579,42568481,603555396.95,1.7021
20250113,000001.SZ,71.0578,71.8684,69.9321,70.4734,31019963,2540081582.54,1.2572
20250113,600000.SH,84.847,87.4428,83.9822,84.7259,13700385,1111490889.11,1.4565
20250113,000002.SZ,78.9658,80.8035,76.747,78.5007,15000679,1129710313.36,0.9796
20250113,600001.SH,57.8904,59.3075,57.6955,58.8201,4147213,1229268152.08,1.3139
20250113,000300.SH,46.8333,48.6801,47.1342,47.5038,35080626,2038091708.02,1.6484
20250114,000001.SZ,43.2461,45.2896,43.4947,44.5877,47718086,952454683.73,1.6213
20250114,600000.SH,59.3584,59.8135,56.8102,59.0877,2422216,1033404394.24,1.5187
20250114,000002.SZ,45.7186,47.7907,43.7714,46.5108,2321356,942010928.92,1.3466
20250114,600001.SH,12.7247,12.8463,10.8243,11.9895,19576089,141450365.76,0.9903
20250114,000300.SH,78.2689,80.7667,78.0064,78.2629,5013405,153078625.04,1.3091
20250115,000001.SZ,99.6916,101.9421,99.3354,100.1435,37957426,4752703200.23,0.799
20250115,600000.SH,11.139,12.2129,10.8426,11.8982,11680262,417437064.76,1.6503
20250115,000002.SZ,25.3155,27.3448,22.4446,25.4203,48271317,158057093.26,0.5385
20250115,600001.SH,38.4308,40.9507,36.2661,38.2912,4723827,1326577186.09,1.4409
20250115,000300.SH,19.7161,21.722,17.9724,18.7922,49208373,754366832.16,1.0208
20250116,000001.SZ,48.2952,50.0719,46.5777,48.9036,41294214,299646512.72,1.9412
20250116,600000.SH,67.8601,69.3246,65.5091,67.4365,48308212,956565170.95,1.7123
20250116,000002.SZ,58.4026,59.7423,57.6286,58.204,42733944,2437103008.52,0.63
20250116,600001.SH,88.8345,90.7409,88.1778,89.2258,2406299,3814812811.0,0.7728
20250116,000300.SH,29.6865,30.1118,28.7317,29.292,14537160,43560677.76,1.9221
20250117,000001.SZ,18.1453,19.1709,16.9797,17.8958,32649242,443518767.92,1.6894
20250117,600000.SH,17.818,20.4502,16.2934,18.4564,24189763,496398472.59,1.1383
20250117,000002.SZ,76.7958,79.2428,74.9469,76.8856,6912138,805021023.36,0.6793
20250117,600001.SH,58.7521,58.7832,55.8769,58.212,36504665,2844643935.59,1.287
20250117,000300.SH,34.6709,36.0522,33.1523,35.1493,1693269,963809638.01,0.9115
20250118,000001.SZ,97.7933,99.7788,95.0654,98.055,25053056,4275082300.05,1.3611
20250118,600000.SH,52.1267,52.7988,49.3999,52.6868,24408730,2156895095.01,1.1011
20250118,000002.SZ,16.9263,16.8282,14.115,16.7302,15887940,828402682.55,0.6777
20250118,600001.SH,79.0125,81.1721,76.477,78.8225,23075208,1788232300.12,1.7902
20250118,000300.SH,98.7136,100.9659,97.9317,99.3429,47431919,1108128750.69,0.8165
20250119,000001.SZ,68.7526,69.96,66.6637,68.9412,23074681,2089874048.49,0.9369
20250119,600000.SH,31.2468,32.9418,29.195,31.0202,46271641,1221091475.2,1.4376
20250119,000002.SZ,70.3738,70.7819,68.1402,69.6541,45512160,2884861111.14,0.6071
20250119,600001.SH,24.5483,27.1799,23.6407,24.7217,7093329,866304382.43,1.5496
20250119,000300.SH,94.8418,96.3222,92.0822,94.3807,22169404,1592734439.95,0.8756
20250120,000001.SZ,19.1432,20.7273,16.945,18.6702,49979048,618399859.69,0.9043
20250120,600000.SH,14.1334,15.0324,12.5754,14.0369,9892968,404282531.6,1.4522
20250120,000002.SZ,53.4378,55.2992,52.2552,54.4255,43028921,931041919.63,1.5405
20250120,600001.SH,36.83,38.3803,34.5899,35.8944,16411340,605237824.54,1.9553
20250120,000300.SH,46.4049,49.3401,45.3487,46.4183,21249130,472640573.44,1.0427
20250121,000001.SZ,78.3307,80.3599,75.6906,78.1291,46455965,1754274521.17,1.5474
20250121,600000.SH,21.8746,22.755,18.6462,20.5867,27991111,587256107.98,0.6398
20250121,000002.SZ,100.129,100.6875,96.6555,99.6353,25420399,3586190291.8,1.2633
20250121,600001.SH,35.2777,37.549,32.3394,34.6595,19795714,1597915747.39,1.2624
20250121,000300.SH,89.8674,89.9681,88.5094,89.0543,46778171,2306850598.69,1.7308
20250122,000001.SZ,35.0526,37.2163,35.4522,35.4451,8281175,971142272.66,1.0177
20250122,600000.SH,59.7594,61.0386,57.6379,59.3612,35177422,1731583604.55,0.8503
20250122,000002.SZ,78.8863,82.0331,78.9147,80.1104,19917858,2674922632.78,1.7311
20250122,600001.SH,98.2643,98.3847,96.7805,98.3638,43615315,4307856945.78,1.1605
20250122,000300.SH,57.2495,59.5029,55.5655,57.4904,8563699,1376343287.28,1.9538
20250123,000001.SZ,40.8559,42.42,40.0258,40.8229,43107767,794050062.89,0.975
20250123,600000.SH,75.2034,77.3017,71.7923,74.253,31926889,3444864983.61,1.9961
20250123,000002.SZ,77.0769,77.5043,76.1102,77.5816,22740249,2702781708.19,1.8551
20250123,600001.SH,14.7315,15.0193,12.2637,13.7848,27027149,406225564.3,1.6888
20250123,000300.SH,24.4565,27.911,24.1577,25.0394,45728621,202711246.18,1.1917
20250124,000001.SZ,32.3686,32.8862,32.2719,33.2592,34202933,287205041.66,1.1626
20250124,600000.SH,41.276,43.0177,39.3738,40.851,42419892,442312866.7,1.077
20250124,000002.SZ,52.9631,55.2045,52.2132,53.9814,15466306,2616629925.67,1.4873
20250124,600001.SH,34.8351,36.7606,33.9372,34.2523,30713918,879367359.14,1.8562
20250124,000300.SH,36.3552,37.5787,33.8144,35.8941,31423666,1223279566.75,1.5814
20250125,000001.SZ,70.003,71.2111,69.0365,69.4727,16137711,1566798568.7,1.3694
20250125,600000.SH,75.0926,76.7977,75.1548,75.588,7475830,2082350967.68,1.9572
20250125,000002.SZ,58.6037,60.2681,55.5476,58.1014,24610543,2340993196.6,1.6198
20250125,600001.SH,39.7147,43.3731,37.9066,40.9509,43146889,1477137882.96,1.9699
20250125,000300.SH,97.6635,98.1516,96.4263,96.5682,27292043,2259861809.44,1.5092
20250126,000001.SZ,70.6798,72.9779,70.3315,70.119,12457273,156971409.76,1.8264
20250126,600000.SH,61.3572,61.1908,57.7163,60.8505,45559994,956764265.1,1.1124
20250126,000002.SZ,23.4725,23.493,21.0578,22.1771,44475706,172680890.05,1.1805
20250126,600001.SH,70.83,73.1817,68.6011,70.586,8571622,1500386097.19,0.6485
20250126,000300.SH,53.8575,56.8958,51.1394,53.9118,22725771,2571130749.33,1.7832
20250127,000001.SZ,19.3133,20.5753,18.8754,18.8006,20508842,195113472.4,0.6832
20250127,600000.SH,86.2324,88.3113,85.2481,86.4201,2046515,3414327486.46,0.8654
20250127,000002.SZ,21.4623,21.539,20.6286,21.0403,11581616,930446942.63,0.9928
20250127,600001.SH,24.0809,23.2884,22.8551,22.9246,7369614,309204610.9,0.7617
20250127,000300.SH,68.5467,69.5398,68.8651,69.2331,16864801,662849540.14,0.5786
20250128,000001.SZ,76.8068,78.9916,75.1834,77.0326,26148659,486904208.29,1.2558
20250128,600000.SH,94.1741,97.4371,94.6884,95.1089,23444083,4586758200.46,0.5912
20250128,000002.SZ,52.9116,55.1667,51.5792,53.5181,4601045,263350257.64,1.4124
20250128,600001.SH,15.4614,17.8106,14.5565,15.7366,49736760,429564628.06,1.1806
20250128,000300.SH,63.6868,66.5937,64.0468,64.6393,38679173,2342293639.37,0.8225
20250129,000001.SZ,50.0969,51.6567,49.0004,50.5559,5659206,1109593873.28,1.4977
20250129,600000.SH,42.9924,46.456,40.8885,44.0189,5568274,250399435.85,1.6082
20250129,000002.SZ,83.172,84.8186,81.744,82.8889,6989332,1522168960.97,1.498
20250129,600001.SH,78.2618,79.6888,77.4308,77.626,18230663,2272895602.17,0.8191
20250129,000300.SH,68.5548,69.4309,68.6424,68.9738,38367675,2013127775.85,1.7108
20250130,000001.SZ,87.0131,88.5192,84.9047,86.2067,2286437,4004137159.86,1.7442
20250130,600000.SH,33.4311,36.1784,31.9972,33.9101,1299183,1486257778.55,1.3495
20250130,000002.SZ,45.3543,47.9701,43.1626,46.3167,11541511,993825214.46,1.0113
20250130,600001.SH,43.748,45.6353,42.0076,42.8897,3577832,377318212.63,1.4268
20250130,000300.SH,70.2014,72.643,69.1142,70.5992,14385175,2684422856.27,0.6707
20250131,000001.SZ,48.2587,50.7277,47.1521,48.8594,3225450,991758722.47,1.399
20250131,600000.SH,10.2947,11.3255,8.1035,10.4474,17077995,14741536.16,1.6205
20250131,000002.SZ,25.5729,27.9235,24.3133,26.1459,40503809,116974634.81,1.7926
20250131,600001.SH,12.8447,16.5707,13.3935,13.883,29096584,493820835.68,1.1265
20250131,000300.SH,19.4073,21.3399,19.7696,20.4837,41769269,938217243.02,0.6322
